date,city_code,plans,plan_revenue_crores,City,Month,Gen,Description
01-04-2022,700001,p1,4.51,Raipur,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,560001,p1,5.13,Lucknow,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,600001,p1,4.53,Lucknow,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,500001,p1,3.01,Lucknow,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,411001,p1,5.52,Lucknow,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,380001,p1,3.45,Ahmedabad,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,302001,p1,1.83,Delhi,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,226001,p1,1.7,Delhi,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,800008,p1,1.48,Raipur,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,641001,p1,1.08,Coimbatore,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,160017,p1,1.22,Delhi,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,122001,p1,0.64,Delhi,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-04-2022,492001,p1,0.46,Lucknow,Apr,Before 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,400001,p1,9.83,Lucknow,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,110001,p1,6.18,Delhi,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,700001,p1,5.64,Raipur,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,560001,p1,5.94,Lucknow,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,600001,p1,4.63,Lucknow,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,500001,p1,4.07,Lucknow,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,411001,p1,3.51,Lucknow,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,380001,p1,3.07,Ahmedabad,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,302001,p1,2.93,Delhi,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,226001,p1,1.78,Delhi,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,800008,p1,2.61,Raipur,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,641001,p1,1.05,Coimbatore,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,160017,p1,0.94,Delhi,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,122001,p1,0.73,Delhi,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-06-2022,492001,p1,0.67,Lucknow,Jun,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,400001,p1,8.71,Lucknow,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,110001,p1,8.32,Delhi,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,700001,p1,5.59,Raipur,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,560001,p1,6.83,Lucknow,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,600001,p1,9.07,Lucknow,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,500001,p1,5.83,Lucknow,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,411001,p1,3.66,Lucknow,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,380001,p1,2.86,Ahmedabad,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,302001,p1,2.26,Delhi,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,226001,p1,3.37,Delhi,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,800008,p1,1.52,Raipur,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,641001,p1,1.68,Coimbatore,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,160017,p1,0.92,Delhi,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,122001,p1,1.47,Delhi,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-07-2022,492001,p1,0.7,Lucknow,Jul,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,400001,p1,7.68,Lucknow,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,110001,p1,7.48,Delhi,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,700001,p1,11.46,Raipur,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,560001,p1,5.99,Lucknow,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,600001,p1,4.35,Lucknow,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,500001,p1,4.09,Lucknow,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,411001,p1,4.74,Lucknow,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,380001,p1,4.54,Ahmedabad,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,302001,p1,2.65,Delhi,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,226001,p1,2.3,Delhi,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,800008,p1,1.71,Raipur,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,641001,p1,2.44,Coimbatore,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,160017,p1,1.18,Delhi,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,122001,p1,0.87,Delhi,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-08-2022,492001,p1,0.54,Lucknow,Aug,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,400001,p1,9.5,Lucknow,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,110001,p1,7.5,Delhi,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,700001,p1,6.92,Raipur,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,560001,p1,5.62,Lucknow,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,600001,p1,4.64,Lucknow,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,500001,p1,4.02,Lucknow,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,411001,p1,7.42,Lucknow,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,380001,p1,3.73,Ahmedabad,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,302001,p1,2.31,Delhi,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,226001,p1,2.23,Delhi,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,800008,p1,2.04,Raipur,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,641001,p1,1.35,Coimbatore,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,160017,p1,1.43,Delhi,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,122001,p1,1.02,Delhi,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-09-2022,492001,p1,0.54,Lucknow,Sep,After 5G,Smart Recharge Pack (2 GB / Day Combo For 3 months)
01-01-2022,400001,p2,4.87,Lucknow,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,110001,p2,4.01,Delhi,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,700001,p2,4.01,Raipur,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,560001,p2,3.76,Lucknow,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,600001,p2,2.82,Lucknow,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,500001,p2,2.42,Lucknow,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,411001,p2,2.05,Lucknow,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,380001,p2,1.92,Ahmedabad,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,302001,p2,1.98,Delhi,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,226001,p2,1.22,Delhi,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,800008,p2,1.53,Raipur,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,641001,p2,0.58,Coimbatore,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,160017,p2,0.61,Delhi,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,122001,p2,0.42,Delhi,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-01-2022,492001,p2,0.35,Lucknow,Jan,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,400001,p2,5.64,Lucknow,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,110001,p2,4.77,Delhi,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,700001,p2,4.59,Raipur,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,560001,p2,4.77,Lucknow,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,600001,p2,5.95,Lucknow,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,500001,p2,3.12,Lucknow,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,411001,p2,2.66,Lucknow,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,380001,p2,1.62,Ahmedabad,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,302001,p2,1.21,Delhi,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,226001,p2,2.8,Delhi,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,800008,p2,1.06,Raipur,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,641001,p2,1.03,Coimbatore,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,160017,p2,0.51,Delhi,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,122001,p2,0.79,Delhi,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-02-2022,492001,p2,0.4,Lucknow,Feb,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,400001,p2,4.93,Lucknow,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,110001,p2,4.38,Delhi,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,700001,p2,6.21,Raipur,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,560001,p2,4.51,Lucknow,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,600001,p2,2.5,Lucknow,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,500001,p2,2.7,Lucknow,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,411001,p2,3.19,Lucknow,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,380001,p2,2.89,Ahmedabad,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,302001,p2,1.52,Delhi,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,226001,p2,1.42,Delhi,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,800008,p2,0.91,Raipur,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,641001,p2,1.72,Coimbatore,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,160017,p2,0.85,Delhi,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,122001,p2,0.5,Delhi,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-03-2022,492001,p2,0.33,Lucknow,Mar,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,400001,p2,5.09,Lucknow,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,110001,p2,3.83,Delhi,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,700001,p2,4.36,Raipur,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,560001,p2,4.22,Lucknow,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,600001,p2,3.31,Lucknow,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,500001,p2,2.22,Lucknow,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,411001,p2,4.71,Lucknow,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,380001,p2,2.56,Ahmedabad,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,302001,p2,1.36,Delhi,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,226001,p2,1.25,Delhi,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,800008,p2,1.05,Raipur,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,641001,p2,0.92,Coimbatore,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,160017,p2,1.01,Delhi,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,122001,p2,0.52,Delhi,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-04-2022,492001,p2,0.36,Lucknow,Apr,Before 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,400001,p2,6.47,Lucknow,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,110001,p2,3.68,Delhi,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,700001,p2,3.09,Raipur,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,560001,p2,4.02,Lucknow,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,600001,p2,2.91,Lucknow,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,500001,p2,2.64,Lucknow,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,411001,p2,2.16,Lucknow,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,380001,p2,2.1,Ahmedabad,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,302001,p2,2.12,Delhi,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,226001,p2,0.99,Delhi,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,800008,p2,1.57,Raipur,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,641001,p2,0.72,Coimbatore,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,160017,p2,0.64,Delhi,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,122001,p2,0.47,Delhi,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-06-2022,492001,p2,0.41,Lucknow,Jun,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,400001,p2,5.81,Lucknow,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,110001,p2,4.79,Delhi,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,700001,p2,3.41,Raipur,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,560001,p2,4.39,Lucknow,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,600001,p2,5.09,Lucknow,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,500001,p2,3.12,Lucknow,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,411001,p2,2.44,Lucknow,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,380001,p2,2.06,Ahmedabad,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,302001,p2,1.38,Delhi,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,226001,p2,2.28,Delhi,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,800008,p2,0.92,Raipur,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,641001,p2,1.12,Coimbatore,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,160017,p2,0.56,Delhi,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,122001,p2,0.96,Delhi,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-07-2022,492001,p2,0.46,Lucknow,Jul,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,400001,p2,5.26,Lucknow,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,110001,p2,4.49,Delhi,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,700001,p2,6.82,Raipur,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,560001,p2,4.16,Lucknow,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,600001,p2,3.26,Lucknow,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,500001,p2,2.76,Lucknow,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,411001,p2,2.6,Lucknow,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,380001,p2,2.54,Ahmedabad,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,302001,p2,1.52,Delhi,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,226001,p2,1.57,Delhi,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,800008,p2,0.98,Raipur,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,641001,p2,1.63,Coimbatore,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,160017,p2,0.66,Delhi,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,122001,p2,0.57,Delhi,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-08-2022,492001,p2,0.37,Lucknow,Aug,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-09-2022,400001,p2,5.46,Lucknow,Sep,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-09-2022,110001,p2,5.47,Delhi,Sep,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-09-2022,700001,p2,4.32,Raipur,Sep,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
01-09-2022,560001,p2,3.85,Lucknow,Sep,After 5G,Super Saviour Pack (1.5 GB / Day Combo For 56 days)
